03-05-2018 06:59:46; ; ; POST; /v1/Account/login; NoError; ; 
03-05-2018 07:02:29; Kurt; Kurt; GET; /v1/User; NoError; 9fe4612d-5a74-4b93-b27b-5aa7d7994bf4; 9fe4612d-5a74-4b93-b27b-5aa7d7994bf4
03-05-2018 07:02:59; Kurt; Kurt; GET; /v1/User; NoError; 9fe4612d-5a74-4b93-b27b-5aa7d7994bf4; 9fe4612d-5a74-4b93-b27b-5aa7d7994bf4
03-05-2018 07:03:13; Kurt; Kurt; POST; /v1/Account/login; NoError; 9fe4612d-5a74-4b93-b27b-5aa7d7994bf4; 9fe4612d-5a74-4b93-b27b-5aa7d7994bf4
03-05-2018 07:03:39; Graatand; Graatand; GET; /v1/User; NoError; 68f46242-b58d-42f7-920d-289918e48334; 68f46242-b58d-42f7-920d-289918e48334
03-05-2018 07:03:57; Graatand; Graatand; POST; /v1/Account/login; NoError; 68f46242-b58d-42f7-920d-289918e48334; 68f46242-b58d-42f7-920d-289918e48334
03-05-2018 07:04:01; Graatand; Graatand; POST; /v1/Account/login; NoError; 68f46242-b58d-42f7-920d-289918e48334; 68f46242-b58d-42f7-920d-289918e48334
03-05-2018 07:04:13; ; ; POST; /v1/Account/login; NoError; ; 
03-05-2018 07:04:39; Lee; Lee; POST; /v1/Account/login; NoError; 6ebdeb6e-1838-428e-9596-4048145d571e; 6ebdeb6e-1838-428e-9596-4048145d571e
03-05-2018 07:04:48; Lee; Lee; POST; /v1/Account/login; NoError; 6ebdeb6e-1838-428e-9596-4048145d571e; 6ebdeb6e-1838-428e-9596-4048145d571e
03-05-2018 07:05:01; Lee; Lee; POST; /v1/Account/login; NoError; 6ebdeb6e-1838-428e-9596-4048145d571e; 6ebdeb6e-1838-428e-9596-4048145d571e
03-05-2018 07:05:09; Lee; Lee; POST; /v1/Account/login; InvalidCredentials; 6ebdeb6e-1838-428e-9596-4048145d571e; 6ebdeb6e-1838-428e-9596-4048145d571e
03-05-2018 07:05:27; Lee; Lee; POST; /v1/Account/login; NoError; 6ebdeb6e-1838-428e-9596-4048145d571e; 6ebdeb6e-1838-428e-9596-4048145d571e
03-05-2018 07:06:01; Tobias; Tobias; POST; /v1/Account/login; NoError; 533d0a50-70a6-414b-bd92-56ee66f788fb; 533d0a50-70a6-414b-bd92-56ee66f788fb
03-05-2018 07:06:09; Tobias; Tobias; POST; /v1/Account/login; NoError; 533d0a50-70a6-414b-bd92-56ee66f788fb; 533d0a50-70a6-414b-bd92-56ee66f788fb
03-05-2018 07:06:29; Tobias; Graatand; POST; /v1/Account/login; NoError; 533d0a50-70a6-414b-bd92-56ee66f788fb; 68f46242-b58d-42f7-920d-289918e48334
